timestamp,Codigo,Nome,Grupo_Sinal,Shift_Value,Melhor_Modelo,Params_ARIMA,Params_LR,Params_SVR,Params_MLP
20260525_121025,501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,0.0,LR,"(1,1,0)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,0.0,ARIMA,"(0,2,2)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}","{'hidden_layer_sizes': (50,), 'alpha': 0.001, 'learning_rate_init': 0.001}"
20260525_121025,501999001,Outros Recursos não Vinculados - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,positivos_e_negativos,0.0,ARIMA,"(0,2,1)",N/A,N/A,N/A
20260525_121025,550000000,Transferência do Salário-Educação,apenas_positivos,0.0,ARIMA,"(2,2,1)",Ridge(alpha=1.0),"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,apenas_positivos,0.0,SVR,"(0,2,1)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}","{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260525_121025,569004491,"Convênio PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",apenas_positivos,0.0,MLP,"(1,0,0)",Ridge(alpha=1.0),"{'C': 10, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,569005117,Convênio PROGRAMA EMERGENCIAL DE EDUCAÇÃO CONECTAD - 00025320220001-006905,apenas_positivos,0.0,SVR,"(1,2,1)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260525_121025,600004628,Convênio 00.530.493/0001-71 - PORTARIA Nº 1.792/2012,apenas_positivos,0.0,SVR,"(0,1,2)",Ridge(alpha=1.0),"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.001, 'learning_rate_init': 0.01}"
20260525_121025,605000000,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem,apenas_positivos,0.0,SVR,"(2,0,0)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260525_121025,660002527,Convênio BLOCO DE FINANCIAMENTO  DA PROTEÇÃO SOCIA - BLOCO DE FINANCIAMENTO - PSEMC,apenas_positivos,0.0,LR,"(2,1,3)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'learning_rate_init': 0.001}"
20260525_121025,700005391,Convênio IMPLEMENTAÇÃO DE CENTRAL DE ATENDIMENTO A -,apenas_positivos,0.0,ARIMA,"(0,0,1)",N/A,N/A,N/A
20260525_121025,711080000,Demais Transferências Obrigatórias não Decorrentes de Repartições de Receitas - LEI FEDERAL Nº 9.615/1998 (LEI PELÉ),apenas_positivos,0.0,SVR,"(2,2,0)",Ridge(alpha=1.0),"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,753000000,Recursos Provenientes de Taxas e Contribuições e Preços Públicos,apenas_positivos,0.0,MLP,"(0,1,0)",Ridge(alpha=1.0),"{'C': 10, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,753390601,"Recursos Provenientes de Taxas, Contribuições e Preços Públicos - BOMBEIROS",apenas_positivos,0.0,MLP,"(1,0,0)",Ridge(alpha=1.0),"{'C': 1, 'epsilon': 0.1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,759130401,Recursos vinculados a fundos - FEDC-PE,apenas_positivos,0.0,LR,"(1,2,1)",Ridge(alpha=1.0),"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,759480101,Recursos vinculados a fundos - FUNCULTURA - PROJETOS DE PRODUTORES CULTURAIS,apenas_positivos,0.0,SVR,"(0,1,0)",Ridge(alpha=1.0),"{'C': 100, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260525_121025,759540000,Recursos vinculados a fundos - FDIMPPE,apenas_positivos,0.0,ARIMA,"(2,2,1)",N/A,N/A,N/A
20260525_121025,801000000,Recursos vinculados ao RPPS - Fundo em Repartição (Plano Financeiro),apenas_positivos,0.0,SVR,"(0,2,1)",Ridge(alpha=1.0),"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'learning_rate_init': 0.001}"
20260525_121025,803000000,Recursos vinculados ao Sistema de Proteção Social dos Militares (SPSM),apenas_positivos,0.0,MLP,"(1,0,0)",Ridge(alpha=1.0),"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
